id,review,product,category,rating,date
1,"These Air Max 270s are an absolute dream to walk in. The cushioning is incredible and they look stunning.",Air Max 270,Running,5,2024-01-03
2,"Received the wrong size twice. Nike's customer service was unhelpful and slow to respond.",Air Force 1,Lifestyle,1,2024-01-07
3,"Decent pair of trainers. Nothing exceptional but they do the job for casual wear.",Air Max 90,Lifestyle,3,2024-01-12
4,"The Nike React Infinity Run transformed my marathon training. Best running shoe I've ever owned!",React Infinity Run,Running,5,2024-01-15
5,"Glue on the sole started peeling after three weeks. Very poor quality for this price point.",Pegasus 40,Running,1,2024-01-20
6,"They're fine. Comfortable enough but the colour faded quickly after a few washes.",Dri-FIT T-Shirt,Apparel,3,2024-02-01
7,"Absolutely obsessed with these Jordans. The colourway is fire and comfort is on another level.",Air Jordan 1 Retro,Basketball,5,2024-02-04
8,"Sizing is completely off. I ordered a medium and it fits like an extra small. Very frustrating.",Tech Fleece Hoodie,Apparel,2,2024-02-09
9,"Just okay. I expected more from Nike at this price. They feel a bit cheap.",Air Zoom Pegasus,Running,2,2024-02-14
10,"The Metcon 9s are phenomenal for CrossFit. Stable, durable, and look great in the gym.",Metcon 9,Training,5,2024-02-18
11,"Shipment took nearly 3 weeks and the box arrived crushed. Nike needs to improve its logistics.",Air Max 95,Running,2,2024-02-22
12,"These running shoes have given me serious shin splints. Not recommended for long-distance runs.",Pegasus 40,Running,1,2024-03-01
13,"Stylish design and very comfortable for all-day wear. Getting so many compliments!",Air Force 1,Lifestyle,5,2024-03-05
14,"The fabric quality on this hoodie is exceptional. Soft, warm, and holds its shape perfectly.",Sportswear Club Fleece,Apparel,5,2024-03-10
15,"I've bought Nike for years but this pair is a real letdown. The arch support is non-existent.",Air Max 97,Lifestyle,2,2024-03-15
16,"Pretty good overall. Would have given five stars but the tongue keeps sliding to one side.",Air Zoom Vomero,Running,4,2024-03-20
17,"These cleats are unreal! My speed and traction on the pitch improved immediately.",Mercurial Superfly,Football,5,2024-03-25
18,"The stitching came undone after a single gym session. Completely unacceptable quality.",Pro Training Shorts,Apparel,1,2024-04-01
19,"Love the minimalist design. They pair with everything and feel surprisingly supportive.",Court Vision Low,Lifestyle,4,2024-04-05
20,"Average shoe. Does what it says on the tin but nothing special about it.",Revolution 7,Running,3,2024-04-10
21,"Nike By You customisation experience was incredible. My personalised pair is perfect.",Nike By You Air Max,Lifestyle,5,2024-04-14
22,"The Dri-FIT technology really works. Stayed dry during my entire 10k run in the heat.",Dri-FIT T-Shirt,Apparel,5,2024-04-18
23,"Terrible experience. My order was cancelled without any explanation or notification.",Air Jordan 4,Basketball,1,2024-04-22
24,"These shoes look great but the sole is incredibly slippery on wet surfaces. Almost fell twice.",Air Max 270,Running,2,2024-04-28
25,"The Alphafly 3 gave me a new personal best. The carbon plate makes a noticeable difference.",Alphafly 3,Running,5,2024-05-02
26,"Packaging was damaged and the shoes had a scuff on the toe box. Disappointing for the price paid.",Air Jordan 1 Mid,Basketball,2,2024-05-07
27,"Not bad at all for the price. Comfortable, lightweight, and they arrived quickly.",Downshifter 13,Running,4,2024-05-12
28,"The ZoomX foam is absolutely elite. My legs feel so fresh after long runs now.",Vaporfly 3,Running,5,2024-05-17
29,"Nothing to write home about. They fit fine and look okay but I expected better from Nike.",Free RN 5.0,Running,3,2024-05-22
30,"My son loves these for football training. Great grip and the heel collar prevents blisters.",Phantom GX,Football,5,2024-05-27
31,"Returned immediately. The smell from the shoes was overwhelming and would not go away.",Air Max 90,Lifestyle,1,2024-06-01
32,"Good everyday sneaker. Very comfortable from the first wear, no breaking-in needed.",Air Force 1,Lifestyle,4,2024-06-05
33,"The GT Cut 3s have completely changed my game on the basketball court. Outstanding grip and lockdown.",GT Cut 3,Basketball,5,2024-06-10
34,"The colour online looked much more vibrant than what I received. Misleading product photos.",Air Zoom Pegasus,Running,2,2024-06-15
35,"Excellent compression tights. Great for recovery and look very professional.",Pro Compression Tights,Apparel,5,2024-06-20
36,"These feel heavy compared to competitors. Would not choose Nike again for marathon racing.",Pegasus 40,Running,2,2024-06-25
37,"Solid training shoe. Handles everything from weights to cardio without any issues.",Metcon 8,Training,4,2024-07-01
38,"Nike app made ordering seamless. Shoes arrived next day and fit perfectly. Very impressed.",Air Max Plus,Running,5,2024-07-05
39,"The loop on the heel broke on day one. Clearly a manufacturing defect and not acceptable.",Blazer Mid 77,Lifestyle,1,2024-07-10
40,"Great shoe but runs about half a size small. Order up if you are between sizes.",Air Jordan 3,Basketball,4,2024-07-15
41,"I have worn these every day for three months and they still look brand new. Incredible durability.",Air Force 1,Lifestyle,5,2024-07-20
42,"The tech fleece is fine but the zipper feels cheap and the pocket placement is awkward.",Tech Fleece Joggers,Apparel,3,2024-07-25
43,"Phenomenal grip on the court. Never felt more confident cutting and stopping quickly.",Cosmic Unity 3,Basketball,5,2024-08-01
44,"Very average experience. Product was fine, nothing went wrong, but I am not blown away either.",Revolution 6,Running,3,2024-08-05
45,"The Nike Killshot 2 is such a clean timeless silhouette. Gets compliments every single time.",Killshot 2,Lifestyle,5,2024-08-10
46,"Sizing guide on the website was completely wrong. Had to return and wait two more weeks.",Air Max 1,Lifestyle,2,2024-08-15
47,"Genuinely the most comfortable football boot I have ever worn. Wish I had found these sooner.",Tiempo Legend 10,Football,5,2024-08-20
48,"It is an okay shoe. Not great not terrible. Just average in every way.",Nike Flex Experience,Running,3,2024-08-25
49,"Blister city. The heel lining is rough and caused serious blisters within the first mile.",Winflo 11,Running,1,2024-09-01
50,"Stunning design and the fit is perfect. Nike continues to set the standard for athletic footwear.",Air Max 95,Running,5,2024-09-05
